Total runtime of Kruskal's Algorithm: 40.0 ms.
Edge from 639 to 953 has weight 7
Edge from 646 to 355 has weight 7
Edge from 873 to 745 has weight 7
Edge from 687 to 836 has weight 7
Edge from 706 to 829 has weight 7
Edge from 168 to 876 has weight 7
Edge from 718 to 179 has weight 7
Edge from 349 to 379 has weight 7
Edge from 725 to 782 has weight 7
Edge from 729 to 934 has weight 7
Edge from 739 to 967 has weight 7
Edge from 110 to 964 has weight 7
Edge from 739 to 93 has weight 7
Edge from 174 to 964 has weight 7
Edge from 358 to 111 has weight 7
Edge from 362 to 779 has weight 7
Edge from 371 to 808 has weight 7
Edge from 380 to 232 has weight 7
Edge from 790 to 93 has weight 7
Edge from 384 to 214 has weight 7
Edge from 807 to 824 has weight 7
Edge from 401 to 60 has weight 7
Edge from 813 to 878 has weight 7
Edge from 30 to 231 has weight 7
Edge from 205 to 478 has weight 7
Edge from 897 to 947 has weight 7
Edge from 448 to 460 has weight 7
Edge from 117 to 580 has weight 8
Edge from 242 to 913 has weight 8
Edge from 117 to 631 has weight 8
Edge from 120 to 944 has weight 8
Edge from 522 to 422 has weight 8
Edge from 36 to 345 has weight 8
Edge from 60 to 733 has weight 8
Edge from 122 to 699 has weight 8
Edge from 259 to 676 has weight 8
Edge from 261 to 367 has weight 8
Edge from 555 to 376 has weight 8
Edge from 64 to 618 has weight 8
Edge from 129 to 395 has weight 8
Edge from 65 to 628 has weight 8
Edge from 279 to 436 has weight 8
Edge from 583 to 74 has weight 8
Edge from 981 to 341 has weight 8
Edge from 146 to 351 has weight 8
Edge from 657 to 115 has weight 8
Edge from 668 to 811 has weight 8
Edge from 671 to 395 has weight 8
Edge from 27 to 459 has weight 8
Edge from 737 to 866 has weight 8
Edge from 746 to 7 has weight 8
Edge from 84 to 783 has weight 8
Edge from 755 to 425 has weight 8
Edge from 756 to 819 has weight 8
Edge from 182 to 903 has weight 8
Edge from 762 to 992 has weight 8
Edge from 370 to 109 has weight 8
Edge from 765 to 839 has weight 8
Edge from 29 to 477 has weight 8
Edge from 964 to 497 has weight 8
Edge from 828 to 979 has weight 8
Edge from 896 to 480 has weight 8
Edge from 899 to 466 has weight 8
Edge from 944 to 32 has weight 8
Edge from 990 to 946 has weight 8
Edge from 21 to 823 has weight 9
Edge from 241 to 646 has weight 9
Edge from 120 to 77 has weight 9
Edge from 518 to 5 has weight 9
Edge from 246 to 408 has weight 9
Edge from 35 to 277 has weight 9
Edge from 251 to 760 has weight 9
Edge from 255 to 736 has weight 9
Edge from 542 to 463 has weight 9
Edge from 551 to 703 has weight 9
Edge from 554 to 569 has weight 9
Edge from 562 to 353 has weight 9
Edge from 569 to 826 has weight 9
Edge from 23 to 620 has weight 9
Edge from 277 to 964 has weight 9
Edge from 282 to 669 has weight 9
Edge from 600 to 927 has weight 9
Edge from 600 to 759 has weight 9
Edge from 601 to 101 has weight 9
Edge from 69 to 372 has weight 9
Edge from 615 to 72 has weight 9
Edge from 938 to 212 has weight 9
Edge from 986 to 622 has weight 9
Edge from 309 to 869 has weight 9
Edge from 219 to 212 has weight 9
Edge from 75 to 329 has weight 9
Edge from 979 to 416 has weight 9
Edge from 685 to 863 has weight 9
Edge from 686 to 421 has weight 9
Edge from 161 to 490 has weight 9
Edge from 959 to 193 has weight 9
Edge from 711 to 204 has weight 9
Edge from 716 to 444 has weight 9
Edge from 13 to 48 has weight 9
Edge from 718 to 736 has weight 9
Edge from 726 to 440 has weight 9
Edge from 737 to 224 has weight 9
Edge from 177 to 764 has weight 9
Edge from 359 to 827 has weight 9
Edge from 751 to 864 has weight 9
Edge from 365 to 422 has weight 9
Edge from 28 to 853 has weight 9
Edge from 774 to 827 has weight 9
Edge from 387 to 370 has weight 9
Edge from 388 to 806 has weight 9
Edge from 813 to 227 has weight 9
Edge from 822 to 95 has weight 9
Edge from 862 to 440 has weight 9
Edge from 97 to 227 has weight 9
Edge from 206 to 466 has weight 9
Edge from 434 to 220 has weight 9
Edge from 214 to 947 has weight 9
Edge from 116 to 928 has weight 10
Edge from 239 to 897 has weight 10
Edge from 985 to 35 has weight 10
Edge from 511 to 716 has weight 10
Edge from 512 to 892 has weight 10
Edge from 997 to 891 has weight 10
Edge from 245 to 543 has weight 10
Edge from 538 to 886 has weight 10
Edge from 258 to 733 has weight 10
Edge from 552 to 629 has weight 10
Edge from 557 to 654 has weight 10
Edge from 66 to 905 has weight 10
Edge from 577 to 165 has weight 10
Edge from 280 to 932 has weight 10
Edge from 135 to 612 has weight 10
Edge from 593 to 766 has weight 10
Edge from 595 to 608 has weight 10
Edge from 138 to 953 has weight 10
Edge from 611 to 81 has weight 10
Edge from 616 to 110 has weight 10
Edge from 302 to 666 has weight 10
Edge from 144 to 920 has weight 10
Edge from 629 to 102 has weight 10
Edge from 311 to 476 has weight 10
Edge from 3 to 438 has weight 10
Edge from 742 to 238 has weight 10
Edge from 111 to 502 has weight 10
Edge from 331 to 725 has weight 10
Edge from 692 to 733 has weight 10
Edge from 334 to 235 has weight 10
Edge from 342 to 223 has weight 10
Edge from 347 to 989 has weight 10
Edge from 727 to 786 has weight 10
Edge from 82 to 748 has weight 10
Edge from 173 to 484 has weight 10
Edge from 359 to 965 has weight 10
Edge from 47 to 457 has weight 10
Edge from 362 to 463 has weight 10
Edge from 375 to 435 has weight 10
Edge from 189 to 952 has weight 10
Edge from 794 to 428 has weight 10
Edge from 392 to 990 has weight 10
Edge from 826 to 442 has weight 10
Edge from 54 to 967 has weight 10
Edge from 874 to 488 has weight 10
Edge from 876 to 193 has weight 10
Edge from 213 to 932 has weight 10
Edge from 983 to 236 has weight 10
Edge from 239 to 44 has weight 11
Edge from 239 to 64 has weight 11
Edge from 183 to 484 has weight 11
Edge from 235 to 966 has weight 11
Edge from 522 to 332 has weight 11
Edge from 525 to 76 has weight 11
Edge from 532 to 615 has weight 11
Edge from 885 to 612 has weight 11
Edge from 538 to 551 has weight 11
Edge from 994 to 440 has weight 11
Edge from 540 to 977 has weight 11
Edge from 543 to 545 has weight 11
Edge from 258 to 5 has weight 11
Edge from 544 to 374 has weight 11
Edge from 992 to 185 has weight 11
Edge from 10 to 346 has weight 11
Edge from 262 to 440 has weight 11
Edge from 554 to 823 has weight 11
Edge from 941 to 192 has weight 11
Edge from 941 to 914 has weight 11
Edge from 10 to 767 has weight 11
Edge from 132 to 88 has weight 11
Edge from 268 to 152 has weight 11
Edge from 98 to 717 has weight 11
Edge from 568 to 707 has weight 11
Edge from 585 to 961 has weight 11
Edge from 67 to 738 has weight 11
Edge from 598 to 970 has weight 11
Edge from 38 to 11 has weight 11
Edge from 297 to 644 has weight 11
Edge from 302 to 235 has weight 11
Edge from 142 to 977 has weight 11
Edge from 425 to 850 has weight 11
Edge from 25 to 416 has weight 11
Edge from 73 to 670 has weight 11
Edge from 876 to 335 has weight 11
Edge from 25 to 413 has weight 11
Edge from 660 to 939 has weight 11
Edge from 678 to 972 has weight 11
Edge from 699 to 947 has weight 11
Edge from 705 to 31 has weight 11
Edge from 165 to 877 has weight 11
Edge from 708 to 905 has weight 11
Edge from 713 to 486 has weight 11
Edge from 716 to 100 has weight 11
Edge from 732 to 112 has weight 11
Edge from 354 to 445 has weight 11
Edge from 204 to 219 has weight 11
Edge from 361 to 919 has weight 11
Edge from 776 to 428 has weight 11
Edge from 778 to 206 has weight 11
Edge from 382 to 853 has weight 11
Edge from 93 to 52 has weight 11
Edge from 814 to 99 has weight 11
Edge from 825 to 439 has weight 11
Edge from 829 to 729 has weight 11
Edge from 829 to 467 has weight 11
Edge from 201 to 442 has weight 11
Edge from 434 to 445 has weight 11
Edge from 444 to 447 has weight 11
Edge from 559 to 439 has weight 12
Edge from 506 to 610 has weight 12
Edge from 506 to 71 has weight 12
Edge from 508 to 673 has weight 12
Edge from 243 to 920 has weight 12
Edge from 244 to 910 has weight 12
Edge from 208 to 256 has weight 12
Edge from 525 to 421 has weight 12
Edge from 528 to 350 has weight 12
Edge from 487 to 233 has weight 12
Edge from 252 to 952 has weight 12
Edge from 253 to 755 has weight 12
Edge from 36 to 129 has weight 12
Edge from 552 to 186 has weight 12
Edge from 552 to 314 has weight 12
Edge from 267 to 427 has weight 12
Edge from 567 to 78 has weight 12
Edge from 5 to 327 has weight 12
Edge from 585 to 345 has weight 12
Edge from 587 to 767 has weight 12
Edge from 69 to 655 has weight 12
Edge from 620 to 406 has weight 12
Edge from 303 to 502 has weight 12
Edge from 625 to 746 has weight 12
Edge from 152 to 409 has weight 12
Edge from 656 to 159 has weight 12
Edge from 197 to 166 has weight 12
Edge from 160 to 346 has weight 12
Edge from 975 to 202 has weight 12
Edge from 205 to 461 has weight 12
Edge from 696 to 858 has weight 12
Edge from 338 to 3 has weight 12
Edge from 865 to 191 has weight 12
Edge from 722 to 385 has weight 12
Edge from 13 to 853 has weight 12
Edge from 753 to 105 has weight 12
Edge from 369 to 861 has weight 12
Edge from 852 to 413 has weight 12
Edge from 87 to 400 has weight 12
Edge from 94 to 837 has weight 12
Edge from 201 to 458 has weight 12
Edge from 103 to 237 has weight 12
Edge from 228 to 114 has weight 12
Edge from 167 to 19 has weight 12
Edge from 60 to 553 has weight 13
Edge from 21 to 609 has weight 13
Edge from 487 to 947 has weight 13
Edge from 123 to 412 has weight 13
Edge from 613 to 918 has weight 13
Edge from 710 to 847 has weight 13
Edge from 486 to 692 has weight 13
Edge from 561 to 950 has weight 13
Edge from 132 to 380 has weight 13
Edge from 989 to 196 has weight 13
Edge from 459 to 169 has weight 13
Edge from 67 to 15 has weight 13
Edge from 199 to 828 has weight 13
Edge from 594 to 603 has weight 13
Edge from 137 to 813 has weight 13
Edge from 288 to 603 has weight 13
Edge from 222 to 322 has weight 13
Edge from 264 to 968 has weight 13
Edge from 633 to 822 has weight 13
Edge from 5 to 822 has weight 13
Edge from 642 to 732 has weight 13
Edge from 196 to 468 has weight 13
Edge from 665 to 910 has weight 13
Edge from 94 to 883 has weight 13
Edge from 672 to 503 has weight 13
Edge from 862 to 497 has weight 13
Edge from 26 to 32 has weight 13
Edge from 165 to 852 has weight 13
Edge from 341 to 7 has weight 13
Edge from 978 to 727 has weight 13
Edge from 928 to 496 has weight 13
Edge from 356 to 809 has weight 13
Edge from 472 to 405 has weight 13
Edge from 110 to 833 has weight 13
Edge from 91 to 979 has weight 13
Edge from 395 to 760 has weight 13
Edge from 87 to 221 has weight 13
